"alpha","lambda","deviance"
0.35,0.138564790104499,0.771254893426471
0.2,0.423626535241173,1.14119495833045
0.15,0.48037192954465,1.10123590223236
0.15,0.448563287382799,1.03171791753191
0.2,0.454042584609614,1.2046650992882
0.1,1.001625960553,1.23000028481025
0.15,0.342585242343886,0.808796715519267
0.1,0.607075277674266,1.16209036332939
1,0.0380871127992539,0.559741458834859
0.65,0.0366955589968714,0.464891676196179
0.5,0.127797177664883,0.818280334603862
0.8,0.153997089933333,1.15812273697808
0.15,0.595757112600708,1.14288263985586
0.8,0.0964348660759706,0.744141162687314
0.15,0.650996814248958,1.24392188734087
0.2,0.253883988827822,0.934817970313958
0.55,0.129234108023637,0.760854662768167
0.25,0.110366117994536,0.600059714015332
1,0.0626387527242888,0.819003634802956
0.1,0.409421824327404,0.822157668247421
0.65,0.107003790613149,0.893125798199836
1,0.0582632072386126,0.842760150940752
0.25,0.310848496146696,0.957589939786329
0.15,0.361760718029513,0.852570749198959
0.3,0.204981444443907,0.854178752908491
0.1,0.872260473803563,1.18440198350124
0.1,0.527588961447447,1.08127475874269
1,0.13746382890756,1.10212723748535
0.1,0.842260638865444,1.31138711197159
0.1,0.614991244688953,0.890705864393318
0.1,0.408892453733444,0.861294395124453
0.25,0.407793007653108,1.0766753201491
0.1,0.348947290604506,0.93874924933512
0.45,0.135872491093155,0.847803043326398
0.35,0.295249538607005,1.10381985118532
0.2,0.138820683232967,0.72818843321295
0.1,0.852452401736337,1.18012231613127
0.1,0.390439055400842,0.919580214155601
0.7,0.0815190930194621,0.665365909036661
0.1,0.574150233614518,0.936813731861353
0.4,0.289885775983745,1.06494955413818
0.95,0.0880645185456767,0.745510664413999
0.1,0.408625093625862,0.863596455349548
0.1,0.319112216197291,0.7977652619431
0.1,0.609218208263681,1.14171036398588
0.15,0.166036904445555,0.590411225796908
0.2,0.245402967328821,0.837249439764465
0.3,0.166842365453498,0.73868800114371
0.1,0.421975936339125,0.909374642763984
0.5,0.0645520347302339,0.573367051379192
0.15,0.316035370240854,0.948352346410241
0.15,0.387975103174322,0.92517867055531
0.35,0.211414259500968,0.945785958698693
0.1,0.411946829701537,0.884974577924934
0.75,0.0863083689728094,0.796429682035097
0.15,0.503165810971898,1.04873045394421
0.8,0.0200641097130382,0.292865508469566
0.1,0.4003551390361,0.776238970888207
0.1,0.437865942884643,0.871985014305009
0.45,0.157962406338964,0.883987999901727
0.1,0.467401714858156,0.966701929569428
0.1,0.428134476552607,0.961385989362614
0.3,0.0869822163860491,0.726561284549764
0.95,0.0787360778032005,0.794494054062597
0.6,0.107429898220585,0.947589544054991
0.1,0.573442211563987,0.919341886930786
0.2,0.188834250992036,0.720201785649213
0.55,0.128413842183791,0.916819962286465
1,0.0543571333665469,0.647052935737709
0.2,0.220352610958247,0.804292162604795
0.15,0.255559971664541,0.718100673567449
0.7,0.190313702241375,1.09951640993362
0.1,0.538801739463753,0.982051283880878
0.1,0.318315923916078,0.837913891138042
0.1,0.374269030887737,0.808576963726258
0.1,0.384982318785539,0.859904012128267
0.1,0.699175580748289,1.11123092974489
0.1,0.350797963351633,0.756319004246272
0.2,0.346090237551409,0.968468623837323
0.95,0.060390550135197,0.761050298338692
0.1,0.394330163138114,0.800581698465172
0.2,0.355946322374194,1.0443678967812
0.15,0.220155243835282,0.714227358661594
0.1,0.718802030843268,1.22768150068836
0.45,0.119556948176391,0.829070228458874
0.1,0.462156381698333,1.07919049701069
0.1,0.64514969393815,1.02367351564149
0.35,0.155793936731969,0.776452815558335
0.1,0.327345152304568,0.727813689137523
0.1,0.289161368884291,0.724274694424326
0.4,0.175976426934397,1.01114227691501
0.2,0.254459795506449,0.870131340984293
0.1,0.513081644611392,1.05044960485135
0.55,0.358032131057964,1.36211833557989
0.55,0.0434365898043481,0.463123002521804
0.1,0.225646549014665,0.744235265259387
0.1,0.6083362951142,1.20241444981809
0.1,1.05656821189956,1.19330666252988
0.85,0.207402233882123,1.17611465242497
0.4,0.0975458815213966,0.61374637985019
0.2,0.192451893508214,0.745440885401987
0.2,0.516208061788094,1.12017987382175
0.4,0.345258375679173,1.2119293994623
0.1,0.204483695169937,0.727508337719946
0.15,0.5933959327972,1.04705187964855
0.1,0.870198109472418,1.29446264325559
0.45,0.171242386948024,0.998621852261741
0.15,0.33435942813182,0.859111178818477
0.15,0.35323944033658,0.985146505476259
1,0.0829634330739732,0.886611419580227
0.1,0.480420711702628,0.961401750186909
0.1,0.711618079322811,1.02901951810486
0.1,0.539197649172962,0.907329299323541
0.9,0.155336253010442,1.06946945499173
0.1,0.112047931723516,0.476928327787979
0.1,0.721032493490605,1.11797340262447
0.1,0.45352303175113,0.908079617140116
0.95,0.0865280315113155,0.83959475737362
1,0.0797072197708457,0.838440645141931
0.45,0.152169019701163,0.851583417535276
0.75,0.153701093309999,1.16635539718715
1,0.0831782662579129,0.854741863296329
0.1,0.344164895804422,0.899494731909333
0.35,0.162381567696927,0.879387618238094
0.4,0.274911463022474,1.01650395456794
0.1,1.10973364310858,1.2167048916726
0.1,0.432109070324055,0.891696810374088
0.1,0.490825070228994,0.938855305196212
0.1,0.999837029764627,1.1383153642663
0.1,0.465732373204359,0.93383743045074
0.25,0.218285827122716,0.885436698882872
1,0.0637426657180003,0.733323429681577
0.1,0.164572070467153,0.632845618937138
0.75,0.0945973328682562,0.866966815450203
0.25,0.255450712910575,0.926736820956717
0.1,0.349370233081859,0.842446628247326
0.3,0.17591799589778,0.766312621199828
0.1,0.957774809154192,1.17930057524823
0.2,0.196401867825585,0.735160882060964
0.1,0.473573183689235,0.798705248717952
1,0.114741547509194,1.01420201020829
0.35,0.309438550171854,1.12468384295106
0.2,0.254608387930446,0.821715977692491
0.15,0.316700923199808,0.927198643171395
1,0.130350207199992,1.22262191151979
0.2,0.305014817397805,1.00799537405468
0.1,0.675547258714589,1.10968345570746
0.1,0.179951783073356,0.601227156991033
0.9,0.0466546167304131,0.660759528416702
0.1,0.565142407811754,0.983739504781203
0.1,0.614590733226435,0.987115993647685
0.35,0.214473260457955,0.992355133056749
0.35,0.241068383252842,1.00625726823867
0.1,0.578197119019385,0.82957651880118
0.1,0.400265139529401,0.915520344926988
0.1,0.31080779248771,0.760353673784296
0.1,0.318348517453352,0.791760554866035
0.35,0.13716884338387,0.666540981813526
0.15,0.564882047475556,1.11204691414561
0.15,0.513027328741984,1.03571686137288
0.85,0.145323169345928,1.0942356168559
0.1,0.521040114740464,1.06286678736323
0.1,0.614784990386612,1.12048766940898
0.1,0.469415467817756,1.0366004338192
0.65,0.0207563806419807,0.509648415537344
0.25,0.251519975490258,0.916324148759152
0.85,0.110277798893213,1.00394629220534
