"alpha","lambda","deviance"
0.1,0.0729420161872262,0.725088548280185
0.2,0.038725527100102,0.658165622036592
0.85,0.00832123395191293,0.619128401532838
0.2,0.118164401400088,0.900372475252737
0.1,0.137390969829912,0.847782861087068
0.25,0.00967518465196625,0.564334297179864
0.15,0.0627344700335799,0.636540990913892
0.45,0.038725527100102,0.731975848711517
0.15,0.0774758545992635,0.727729604854945
0.95,0.0130798367085682,0.568877805083253
1,0.030425861908365,0.794088156720345
0.45,0.0375753497560111,0.728238047570437
0.55,0.0333062553845528,0.621234998853321
0.1,0.180221642348607,0.917757870025873
0.35,0.0608712089877158,0.914104876441307
0.5,0.0707755833266999,1.14915843899108
0.1,0.0986099692400979,0.772395823600027
0.35,0.0798473820302198,0.936615080722709
0.1,0.11465482961254,0.897498413851048
0.1,0.0956811788267799,0.829039026616454
0.45,0.0231949871337613,0.70479763873269
0.1,0.125509116147594,0.836882283827362
0.15,0.141596492381456,0.853050542732315
0.55,0.047825275407306,0.916441766124042
1,0.0115937811526061,0.664910611330568
0.1,0.104739244104163,0.98444804480383
0.65,0.0105911271102725,0.519877049280696
0.25,0.0774758545992635,0.788617094932029
0.4,0.0411325798725696,0.697978019366556
0.95,0.0774758545992635,0.917869545871039
0.1,0.197283089759766,1.00287284800426
0.15,0.137390969829912,1.00954233668858
0.1,0.0956811788267799,0.771747089871197
0.4,0.0507979389288537,0.737138836383302
0.35,0.0353764638585825,0.936494938677619
1,0.0199490677847077,0.638791477079644
0.15,0.0364593335459814,0.782060446248444
0.9,0.0286453595550447,0.889875192604879
1,0.0269690510825659,0.765841746378455
0.1,0.0205597065665339,0.490523998654824
0.25,0.111249494752408,1.03126420661164
0.25,0.0130798367085682,0.541135734090135
1,0.038725527100102,0.700998030760113
0.1,0.185738207098907,0.988166183644931
0.1,0.0707755833266999,0.740030229617279
0.1,0.0411325798725696,0.726832515575624
0.35,0.0343257562171084,0.673050296687077
0.1,0.137390969829912,0.830563902286638
0.65,0.0193565654349683,0.532817451287998
0.95,0.0205597065665339,0.476094701433927
0.55,0.038725527100102,0.778210892257236
1,0.0423916436412541,0.69638012077552
0.5,0.0205597065665339,0.690640174659792
0.75,0.00673794699908547,0.435989763614206
1,0.0436892472141163,0.981552394074675
0.1,0.243640792198287,1.19844570775373
0.1,0.0874064736669068,0.783993788301379
0.95,0.0211890369346485,0.672419835499416
0.2,0.0423916436412541,0.700851076735793
0.35,0.0225060785327557,0.661921563209878
0.1,0.141596492381456,0.997588409264942
1,0.0375753497560111,0.878772133709072
0.65,0.0353764638585825,0.800170701899366
0.9,0.0199490677847077,0.659217166329291
1,0.030425861908365,0.802827757225102
0.85,0.0436892472141163,0.993779452940042
0.1,0.25109861018541,1.02636119952796
0.9,0.0450265702903446,0.803965771567466
0.5,0.0211890369346485,0.625439681230411
0.2,0.0986099692400979,0.932714741310041
0.35,0.0423916436412541,0.79180853027525
1,0.082291501656317,0.954211631962566
0.5,0.00673794699908547,0.468818085569272
0.7,0.00673794699908547,0.515343939130255
0.9,0.0123144128691125,0.627020887983931
0.5,0.0187816608516126,0.640304565277188
0.65,0.0686734951550717,0.912336402469678
0.1,0.104739244104163,0.778667214868923
0.25,0.00832123395191293,0.399881388183507
0.1,0.0627344700335799,0.802639965774623
0.75,0.00673794699908547,0.269158855960025
0.95,0.032317034495169,0.921506139503363
0.8,0.0261680499375946,0.882132998241714
0.55,0.0507979389288537,0.891657834727435
0.1,0.0253908391303805,0.596380105072584
0.8,0.00883845478153595,0.43895902160851
1,0.0147563703394861,0.450011485219041
0.35,0.0798473820302198,0.861865792415135
0.1,0.222570235323057,1.10155470246724
0.75,0.030425861908365,0.834080327243647
1,0.0375753497560111,0.880493525020211
1,0.0646547652961579,0.767174092886153
0.1,0.129350936458175,0.761662890528342
0.85,0.0211890369346485,0.731767673045203
0.15,0.107945300904381,0.767015391597127
0.1,0.137390969829912,0.829020552335045
1,0.0176825698399504,0.531200445861306
0.1,0.329376843143987,0.869418256160002
0.1,0.164635704004738,0.927721268621991
0.1,0.191423633292527,0.981957491899732
0.85,0.00783428056079679,0.464894219809773
0.1,0.258784711164997,0.991619719808876
0.75,0.0205597065665339,0.662944943684368
0.1,0.0874064736669068,0.836793960456494
0.8,0.0115937811526061,0.700266926343615
0.1,0.222570235323057,0.887853669287349
0.35,0.0375753497560111,0.784041510832153
0.2,0.0774758545992635,0.812329779886896
0.6,0.0126913556994469,0.444573825881806
0.1,0.155001325879188,0.918216912230279
0.2,0.0956811788267799,0.864826479824746
1,0.0231949871337613,0.719174667754382
0.95,0.0986099692400979,1.13191187002728
0.1,0.17486892372948,1.04539267786253
0.1,0.0182238313677147,0.562611071179231
0.1,0.150397669668919,0.956022984304848
0.85,0.0269690510825659,0.63532610995804
0.25,0.0161533448273766,0.592152505706699
0.1,0.0986099692400979,0.773061378812157
0.6,0.0590632881993397,0.992671789448233
0.1,0.185738207098907,0.974537751316695
0.7,0.038725527100102,0.833564103931789
0.7,0.0364593335459814,0.759719683851385
0.1,0.0646547652961579,0.651901768977971
0.8,0.0364593335459814,0.886683275428283
0.1,0.0573090640210918,0.560924421261402
0.25,0.118164401400088,0.814965268785993
0.1,0.0956811788267799,0.905055760647205
0.9,0.00857594601257285,0.465147188836667
0.1,0.164635704004738,1.03209955254272
1,0.11465482961254,1.11855314913212
0.1,0.0666338405865818,0.652684788616606
1,0.0436892472141163,0.984740137269515
0.2,0.107945300904381,0.896321769509175
0.75,0.0686734951550717,0.999696463062194
0.45,0.0900819762607975,0.961536423759568
1,0.0627344700335799,0.969897009506657
0.35,0.0253908391303805,0.57068539028255
0.1,0.159745899502266,0.959631632935795
0.15,0.0848104355167045,0.732223676392046
0.1,0.180221642348607,0.984029945435493
0.1,0.141596492381456,0.916375194685525
1,0.0874064736669068,0.961754762092206
0.6,0.0199490677847077,0.669619464978185
0.3,0.104739244104163,0.866222360104809
0.1,0.180221642348607,1.02187677443717
0.1,0.101628409607465,0.876292652937617
0.2,0.133310354468046,0.912862705725024
1,0.030425861908365,0.726720437253278
0.1,0.0729420161872262,0.678625111233296
0.1,0.118164401400088,0.853185635728256
0.9,0.0261680499375946,0.812616433010422
0.15,0.0556069416231776,0.605076099753208
0.1,0.0900819762607975,0.880197499277069
0.1,0.180221642348607,0.897087488238551
0.75,0.0507979389288537,0.958402585653135
1,0.0295221908763096,0.933561954820438
0.1,0.159745899502266,0.941617120994255
0.5,0.0333062553845528,0.719032662281381
0.1,0.129350936458175,0.848948272497592
0.1,0.111249494752408,0.798191171866959
0.1,0.203321903548256,0.874586517181403
0.95,0.00807408703144286,0.50230498290038
0.1,0.0450265702903446,0.725595418012341
0.75,0.0152080612207607,0.605329481966087
0.1,0.155001325879188,0.961594573021464
0.45,0.0225060785327557,0.828654034868174
0.15,0.0436892472141163,0.60644528080611
0.1,0.0399109112468295,0.621181892288782
0.55,0.0193565654349683,0.584302246800509
0.15,0.125509116147594,0.82590157621446
0.65,0.0450265702903446,0.69959871846691
0.4,0.0751747633205364,1.08384609884643
0.1,0.0774758545992635,0.735562935695283
0.1,0.118164401400088,0.960059540153443
0.5,0.0627344700335799,0.845949578699211
0.1,0.107945300904381,0.89085792084839
1,0.0199490677847077,0.736709404732555
1,0.047825275407306,0.790565906505785
0.1,0.0798473820302198,0.760893613832033
0.1,0.0774758545992635,0.8472667180951
1,0.0161533448273766,0.673599543148772
0.6,0.038725527100102,0.804423146821194
0.8,0.030425861908365,0.647860364668165
0.1,0.243640792198287,0.946784407040576
0.5,0.047825275407306,0.931980962014993
0.1,0.0686734951550717,0.712350010408686
0.15,0.0590632881993397,0.633617464339477
0.15,0.0751747633205364,0.802332818206697
0.25,0.0646547652961579,0.681060387759686
0.35,0.0986099692400979,0.913215952394921
0.95,0.0211890369346485,0.788217946569534
0.1,0.243640792198287,0.990227836339652
0.1,0.0848104355167045,0.825992631998164
0.85,0.0666338405865818,0.958104896404694
0.15,0.118164401400088,0.734302875712253
0.25,0.137390969829912,1.01560747688204
0.15,0.0573090640210918,0.713797761394267
0.1,0.0798473820302198,0.778350116439119
0.3,0.0218376310364623,0.656505566312171
0.5,0.111249494752408,0.995945545003231
1,0.0848104355167045,0.836630909533322
0.1,0.0286453595550447,0.435718252415955
0.7,0.00673794699908547,0.496642868385243
1,0.0464048286795906,0.865274924640841
0.1,0.0874064736669068,0.654650974048585
1,0.0666338405865818,1.15544529832907
0.1,0.032317034495169,0.657187201586869
0.1,0.107945300904381,0.666111664723149
0.85,0.00694419481938138,0.528561961604578
1,0.0277945707849297,0.418584050866175
0.45,0.0523528582805528,0.818068554305783
0.1,0.150397669668919,0.972189193010871
0.65,0.00673794699908547,0.53352787009933
0.25,0.0411325798725696,0.75332741210778
0.3,0.0590632881993397,0.827195133353948
0.1,0.092839375696302,0.921059440624635
0.3,0.107945300904381,0.915812247927183
0.3,0.0199490677847077,0.640870773235184
0.35,0.0295221908763096,0.642368308764983
0.7,0.0900819762607975,1.00950589018268
0.1,0.0492892018539146,0.630950571908765
1,0.0211890369346485,0.647934285805638
0.1,0.0729420161872262,0.787865426249661
0.1,0.155001325879188,0.943365185804153
0.2,0.118164401400088,0.805678275199124
0.65,0.0277945707849297,0.689684080006029
0.1,0.0556069416231776,0.682299183931699
0.15,0.0573090640210918,0.557739185933907
0.1,0.0798473820302198,0.852418716760894
0.75,0.023904983151655,0.91941940765533
0.8,0.0123144128691125,0.583085197514359
0.1,0.129350936458175,0.838222443254386
0.25,0.0646547652961579,0.95139695388815
0.1,0.0590632881993397,0.772220492430463
0.3,0.038725527100102,0.613963549874208
0.5,0.0590632881993397,0.977185113405918
0.1,0.0874064736669068,0.735924694914231
1,0.0187816608516126,0.753138716094541
0.1,0.118164401400088,0.760982937641538
1,0.0313571942118213,0.704355713939572
0.1,0.0295221908763096,0.613513031573274
0.55,0.0193565654349683,0.53388739837084
0.1,0.0627344700335799,0.720419676667718
0.15,0.0956811788267799,0.776591330728255
0.1,0.101628409607465,0.772541616130902
1,0.0199490677847077,0.666941616081113
0.55,0.0686734951550717,0.999459073709607
0.8,0.0225060785327557,0.711270959878995
0.55,0.0147563703394861,0.511017922292853
0.1,0.141596492381456,1.03807925855644
0.45,0.0523528582805528,0.906266555373709
0.1,0.406774017444134,1.11771996074142
0.6,0.00673794699908547,0.382448536260657
0.1,0.129350936458175,0.952825267961412
1,0.0313571942118213,0.694271479845273
0.1,0.0751747633205364,0.716351446419472
0.75,0.0333062553845528,0.715247520543591
0.1,0.107945300904381,0.90137649645929
0.1,0.721348309706679,1.30590777947352
0.6,0.0707755833266999,0.771460151984609
0.1,0.145930745518084,0.944259085599708
0.1,0.191423633292527,1.01664995010797
