"alpha","lambda","deviance"
0.35,0.145162656895467,0.785768681920978
0.2,0.443797831618359,1.15603113707716
0.15,0.41780300660704,1.06252574373526
0.15,0.408714161223936,0.980543736527709
0.2,0.433405648397857,1.19254436295169
0.1,1.001625960553,1.23083406393552
0.15,0.342585242343886,0.802185803165627
0.1,0.607075277674266,1.15841271673659
0.1,0.480604854418504,1.00306724346444
0.65,0.0366955589968714,0.465108443161336
0.4,0.145555035781145,0.81980604669564
0.2,0.444793430318293,1.15619475202713
0.1,0.777238731730374,1.1315964195789
0.8,0.0964348660759706,0.744141162687314
0.15,0.650996814248958,1.22149608271205
0.2,0.21077894779228,0.862928572509401
0.55,0.135387687363283,0.771426695719317
0.25,0.100561496253669,0.563507603211842
1,0.0626387527242888,0.819003634802956
0.1,0.390812970535396,0.802009486659691
0.45,0.134429302456379,0.85188600778792
1,0.0582632072386126,0.842760138876106
0.1,0.465871944188181,0.891340470986012
0.15,0.361760718029513,0.842559754741556
0.3,0.224966882226172,0.880460261838258
0.1,0.832614889076311,1.17361511966869
0.1,0.527588961447447,1.06919770350944
1,0.13746382890756,1.10212785437522
0.1,0.767436525076231,1.29620769052081
0.1,0.614991244688953,0.893059172563609
0.1,0.408892453733444,0.855878119091132
0.25,0.407793007653108,1.07225757550815
0.1,0.348947290604506,0.947762841496814
0.4,0.152856552479799,0.847004822111272
0.1,0.781709069517684,1.05359114848522
0.2,0.13251106893277,0.715317083451039
0.1,0.893042564562371,1.18214204094866
0.1,0.355753525814159,0.896072737952933
0.6,0.0907829118352335,0.666673675809517
0.1,0.523144309284556,0.903625787365283
0.25,0.385069222357241,1.06993132161438
0.9,0.0887319530569122,0.733747147306241
0.1,0.390052452473864,0.839477315043999
0.1,0.304608073473061,0.774006132816838
0.1,0.609218208263681,1.13339134470389
0.15,0.166036904445555,0.590411225796908
0.2,0.203737854748104,0.757643359628626
0.3,0.174786690281775,0.742705883133591
0.1,0.402796478780944,0.878147828667844
0.4,0.0639454794720731,0.533679777302434
0.2,0.272522908295651,0.944582651771886
0.1,0.555511553937397,0.941496909053318
0.3,0.22473826593052,0.911635120223121
0.1,0.411946829701537,0.887318654635666
0.65,0.109296148153128,0.837317808348877
0.15,0.45846594710824,1.01123072188692
0.8,0.0200641097130382,0.287380596681455
0.1,0.364788691909133,0.73988593023768
0.1,0.417964260005314,0.857023827127677
0.45,0.150782771181447,0.870391790509304
0.1,0.489657399366307,0.974303733654996
0.1,0.428134476552607,0.961382736902172
0.3,0.0830287404083288,0.719771926958947
0.95,0.0787360778032005,0.794494054062597
0.7,0.101060726292117,0.960743260625591
0.1,0.573442211563987,0.915176511809071
0.2,0.188834250992036,0.726042722090589
0.55,0.128413842183791,0.904199828461334
1,0.0543571333665469,0.647052935737709
0.2,0.220352610958247,0.804944817862777
0.15,0.255559971664541,0.711623704566772
0.8,0.191462696663055,1.14246483095084
0.1,0.514312368851837,0.956191173523891
0.1,0.290037614550822,0.813206550488594
0.1,0.357257925810209,0.795498908615769
0.1,0.36748427823883,0.829839621292399
0.1,0.667396971538921,1.09772121339537
0.1,0.367501472453702,0.767776496069734
0.2,0.315344534712006,0.902441485820911
0.95,0.060390550135197,0.761441354795243
0.1,0.376407248638696,0.764518366802414
0.15,0.474595096498925,1.04792363018745
0.15,0.220155243835282,0.706422952126505
0.1,0.686131369186834,1.20944983811676
0.4,0.13450156669844,0.842705746181304
0.1,0.462156381698333,1.0688484519526
0.1,0.675868982277037,1.03817364691756
0.35,0.163212182309527,0.778220293103473
0.1,0.312466809928059,0.71515807252364
0.1,0.302930005141406,0.732673252895952
0.4,0.175976426934397,1.01260189191013
0.1,0.367481117241898,0.86416616773254
0.1,0.513081644611392,1.04470930429191
0.5,0.3759349199504,1.34159735189304
0.55,0.0476716036875003,0.479704909693759
0.1,0.205600731508151,0.713084377602965
0.1,0.55429337530134,1.17781064696001
0.1,1.05656821189956,1.18974032579449
0.85,0.207402233882123,1.17641325729265
0.4,0.102190602101569,0.622846518641473
0.15,0.233806663611452,0.739881927938837
0.2,0.516208061788094,1.12122249828799
0.4,0.361698113144074,1.23232603214578
0.1,0.214220340248666,0.735179472954667
0.15,0.540680273595218,1.00678178738728
0.1,0.870198109472418,1.28591588896824
0.45,0.163459156176325,0.982462796466349
0.15,0.33435942813182,0.857249014055572
0.15,0.337184162605372,0.956907837943707
1,0.0829634330739732,0.886595640967086
0.1,0.480420711702628,0.945674452602812
0.1,0.711618079322811,1.0279254861697
0.1,0.539197649172962,0.89392620790643
0.9,0.16273270563306,1.08722700066088
0.1,0.106955180298833,0.464875543033714
0.1,0.721032493490605,1.11744660057115
0.1,0.413233295572212,0.857844415287924
0.95,0.0825951989371128,0.823389739839877
1,0.0797072197708457,0.838440457699726
0.45,0.152169019701163,0.852743588678504
0.75,0.153701093309999,1.16635539718715
1,0.0831782662579129,0.854741863296329
0.1,0.313590235019357,0.860550349848758
0.35,0.162381567696927,0.877957499276113
0.35,0.286273241526056,1.0023752901842
0.1,1.10973364310858,1.21759004728388
0.1,0.393721691458968,0.847335302623003
0.1,0.490825070228994,0.91925187250082
0.1,0.869607259418111,1.07171866179142
0.1,0.444564118059674,0.913779105123435
0.25,0.218285827122716,0.888111892989116
1,0.0637426657180003,0.733323429681577
0.1,0.164572070467153,0.624075611002024
0.75,0.0945973328682562,0.866966815450203
0.25,0.232757175627266,0.891512213334206
0.1,0.349370233081859,0.833209921121567
0.3,0.160289925992535,0.73829853489411
0.1,0.957774809154192,1.17930057524823
0.15,0.238605422925587,0.728070966970639
0.1,0.473573183689235,0.795782005269636
1,0.114741547509194,1.01420201020829
0.35,0.309438550171854,1.12545987814037
0.2,0.254608387930446,0.818093724135668
0.1,0.413175468121745,0.917488191055824
0.95,0.143744137307483,1.24708472117137
0.2,0.277918141676247,0.972384869724665
0.1,0.644842593208144,1.07543554262677
0.1,0.171772696806217,0.58715873778831
0.9,0.0466546167304131,0.660759528416702
0.1,0.592052088993074,0.995435955262106
0.1,0.586656635879958,0.971760141543768
0.4,0.187664102900711,0.981927679155605
0.3,0.233495741380628,0.969782326890794
0.1,0.551917167606273,0.805609841280855
0.1,0.400265139529401,0.900192454225353
0.1,0.296681098637615,0.738808662104462
0.1,0.290067312568077,0.775571571080128
0.4,0.120022737960886,0.650405424620742
0.15,0.564882047475556,1.10612983070525
0.15,0.467451394819113,0.990222185542172
0.85,0.145323169345928,1.0950018315852
0.1,0.474752346993652,1.01824249494596
0.1,0.614784990386612,1.11257006373186
0.1,0.469415467817756,1.03850262103281
0.65,0.0227801021306778,0.504775501865461
0.25,0.229175634085803,0.869361595511138
0.85,0.110277798893213,1.00394629220534
0.1,0.696526240588193,1.08327756863576
0.3,0.310259739052706,0.957831062885543
0.4,0.093053986699939,0.624614837275516
0.1,0.300795644994639,0.721840454535716
0.15,0.401419436161847,0.940690971299092
0.15,0.433666022526966,1.01286008333816
0.15,0.353073604792524,0.895256503605776
0.1,0.320792314401227,0.763407268354157
0.2,0.39126783363444,0.964363685087279
0.35,0.254132229446679,1.03985646160633
0.15,0.342681114161195,0.871091018584504
0.5,0.117157537665945,0.697279517433679
0.1,0.542694642060838,0.967042858778145
0.2,0.465529413143796,1.0216843015785
0.9,0.14213706896514,1.10859487990919
0.1,0.349759156598501,0.822957212958083
0.5,0.141366541682862,0.846017020427397
1,0.109873206319858,0.960518632431256
0.9,0.117408640549025,1.00959113453401
0.55,0.0918320676522884,0.619408571640978
0.1,0.314849187015195,0.790315518761428
0.1,0.385431518721603,0.807732450820647
0.5,0.134790201582659,0.766912714125522
0.2,0.292994722529428,0.958412627404478
0.1,0.302841712153313,0.976516274388119
0.1,1.03407500431922,1.15581688352553
0.2,0.478370092804527,1.08141299875099
0.1,0.407917217354325,0.85117472525347
0.25,0.239896821011361,1.08989495777289
0.3,0.185447619488479,0.994234037969058
0.1,0.337933081965994,0.985749982900957
0.1,0.613308392128702,0.968192676612424
0.1,0.495311116590119,0.938945189046702
0.1,0.251092894715818,0.824564934872473
0.2,0.198040086920804,0.699993084083479
0.1,0.706817221304291,0.870477605960682
0.1,0.3318636946429,0.857839604187709
0.1,0.441020635033118,1.05579646297951
0.1,0.417235883285423,0.836691973201366
0.1,0.669281852453073,0.975847361104962
0.1,0.872785966164714,1.16271503148924
0.9,0.141072602642141,1.17319444184509
0.15,1.05252803545056,1.2879894712905
0.1,0.594665709864218,1.0253993270329
0.1,0.580823227401304,1.02595918331596
0.35,0.179235176510889,0.867647836122405
0.1,0.307059306569709,0.76857249283701
0.15,0.0931801697085373,0.584710449205177
0.8,0.0549234363581952,0.793185137905757
0.1,0.254075588455134,0.62715866187949
0.85,0.0521672664845625,0.592870889378906
0.3,0.161249972261121,0.697239378079961
0.7,0.128992617088709,1.00620569796752
1,0.0586581075066472,0.593523230573126
0.25,0.142011674453806,0.60190305928486
0.1,0.378312535244667,0.863792985258812
1,0.0524281408740574,0.583196198790208
0.15,0.748960823062933,1.28554704732736
0.1,0.219483522523537,0.792116114624907
0.55,0.0880270458766454,0.630125383267968
0.85,0.0805748591758456,0.879704216478207
0.15,0.627269407878279,1.04122335424434
0.15,0.511290969770327,1.03149275318323
0.1,0.524804184958828,0.999627961156696
0.25,0.319128041391384,1.12293219228511
0.15,0.319291999110373,0.952700513053254
0.3,0.213746902370314,0.921018208652048
0.1,0.704014324832513,1.09747202944516
0.15,0.36694999927988,1.00961576431104
1,0.100683314743971,1.04649493756998
0.2,0.134537767583477,0.59000627240336
0.7,0.103903958572929,0.693213669521084
0.75,0.0563950498907087,0.61123510005758
0.1,0.261447879680808,0.811528487498654
0.1,0.234297021874121,0.683578177242215
0.7,0.128910062893002,0.925715692273355
0.9,0.189671747055503,0.950476733976737
0.1,0.169706479168355,0.446190108592065
0.4,0.192744678613023,0.941361439079001
0.1,0.273662311057811,0.750363835108926
1,0.0750962396690753,0.825263833498577
0.7,0.096113654063379,0.999350301728976
0.95,0.0899394941839839,0.889777785756587
0.55,0.117272201719753,0.773173603277335
0.1,1.15355095459525,1.25451111589271
0.1,0.307526007292906,0.843879485192483
0.1,0.215679132565051,0.768916289577881
1,0.125148119244254,1.05626900729488
1,0.0677713014550931,0.853495398752133
1,0.0628100440904084,0.799263028883674
1,0.0943467198033001,0.865537776264063
0.1,0.247007553290447,0.709791633767417
0.9,0.0756277018079602,0.853493626572871
0.1,0.366452339254672,0.678277704213046
0.15,0.879763056126792,1.25654415534641
0.4,0.20985808420226,0.997826730073832
1,0.0905732222727928,0.799915316687029
0.1,0.728654747466502,1.14039867088479
0.1,0.449033517559255,0.987419438500738
0.45,0.115751495265641,0.792192331741727
0.15,0.518409500844214,1.00279942107622
0.1,0.789439345207468,1.15610793657706
0.9,0.0550345154790759,0.57020123110226
0.1,0.38274366863055,0.912069708695701
0.15,0.262591815833779,0.897254325039303
0.1,0.744170518040965,1.00945163298233
0.1,0.6926898178155,1.07975853638811
0.25,0.324295833088896,1.0716617538651
1,0.11149175412406,1.00526714900934
0.1,0.776173562455514,1.05551299380929
0.2,0.430439117852932,0.921259207494265
0.65,0.159117755264681,1.10982713316513
0.1,0.583162453480021,1.04625122134529
1,0.102586764321254,0.831644317469353
0.1,0.269781067035468,0.887222551282269
0.4,0.316715210321825,1.22596048114779
0.1,0.456725900241304,0.855980279853352
0.1,0.499684988417643,0.829514733064061
0.95,0.0418894725204072,0.532064831226742
0.1,0.464278664368436,0.811758292588341
0.1,0.444628857677713,1.00400743945306
0.35,0.155408204229875,0.89629070196595
0.1,0.907045631267335,1.22792672527902
0.2,0.35546421201322,0.932571706058061
1,0.0411254022832131,0.702973897331488
0.25,0.119851038716148,0.75363815057886
0.95,0.0362500202006705,0.586562561246925
0.4,0.168991236768258,0.917033875265691
0.1,0.728473760405567,1.21285541771806
0.1,0.460382117209176,0.860971968135752
0.1,0.893501559705759,1.09961538670236
0.15,0.260894362971117,0.806764446524395
1,0.0701668761972084,0.948282358298334
0.75,0.075864050480516,0.783317777626116
0.1,0.634964506789803,1.12785076424046
0.35,0.0931373204832231,0.511705478297607
0.55,0.187786585315529,1.02065083095901
0.1,0.274634824857446,0.773144679820343
0.1,0.233889852083415,0.694031570733892
0.1,1.05479862263236,1.25460845039416
0.1,0.544431251370653,0.830770100298045
0.15,0.164651116344716,0.648551165872029
0.65,0.0492850884055168,0.653982669728693
0.35,0.102919495217822,0.575373501698076
0.1,0.537193635158183,1.10656601671435
0.1,0.399120825469522,0.823691547816826
0.1,0.424365028120936,0.835047964117236
0.15,0.33943624835223,0.834949935215601
0.25,0.333708328396084,0.850771736232295
0.15,0.35546358842052,0.988615553214356
0.1,0.375764474314751,0.90144655983612
0.15,0.242951942519146,0.765072775706797
0.25,0.18470509459034,0.720089315633689
0.1,0.455975379544717,1.12848391231121
0.1,0.596337219557122,1.12915416612722
0.1,0.717022387560905,1.08272126129821
0.1,1.03597590193254,1.25489920303135
0.35,0.194399312331153,0.878855857028869
0.35,0.143744469577989,0.743701716798109
0.25,0.253334766809717,0.924119337909082
0.25,0.267447531968687,0.964939322707229
0.1,0.282481892526319,0.684819748241519
0.1,0.56206285884508,0.912187534718518
0.35,0.111235028876301,0.683521543839467
0.35,0.22422855047168,0.982795659690317
0.1,0.563905629197654,1.03979014663057
0.1,0.523221116140954,0.989253967352741
0.1,0.423729708920127,0.803557082144026
