"alpha","lambda","deviance"
0.1,0.0707755833266999,0.720174750484968
0.15,0.0539553735434497,0.663690136686457
0.85,0.00832123395191293,0.619532047863352
0.2,0.121781400795994,0.897110194804948
0.1,0.129350936458175,0.831447160087829
0.25,0.00832123395191293,0.55255656741096
0.15,0.0646547652961579,0.640920523977808
0.4,0.0375753497560111,0.709828256437979
0.15,0.0798473820302198,0.728615306911108
0.95,0.0138928368036063,0.56536424627823
1,0.030425861908365,0.794045162030319
0.45,0.0375753497560111,0.730940451513996
0.5,0.0353764638585825,0.617808937584336
0.1,0.191423633292527,0.917888954283004
0.35,0.0608712089877158,0.914104876441307
0.45,0.0666338405865818,1.11767635323067
0.1,0.0900819762607975,0.75685846326839
0.35,0.0729420161872262,0.91186486280492
0.1,0.107945300904381,0.888122394592339
0.1,0.0874064736669068,0.802958093889851
0.35,0.0269690510825659,0.685441383237821
0.1,0.111249494752408,0.801739977162984
0.1,0.185738207098907,0.840408310971523
0.55,0.047825275407306,0.90572463406018
1,0.0115937811526061,0.664908576898248
0.1,0.0956811788267799,0.949439956624546
0.65,0.0105911271102725,0.522844143526734
0.25,0.0798473820302198,0.788520488709929
0.35,0.0436892472141163,0.670047475932666
1,0.0751747633205364,0.91965474889035
0.1,0.209545564765974,1.01093375701861
0.15,0.121781400795994,0.991876589260849
0.1,0.0956811788267799,0.77227150926079
0.55,0.0364593335459814,0.701199397443756
0.35,0.0343257562171084,0.929334703254941
1,0.0199490677847077,0.638791477079644
0.15,0.0364593335459814,0.771678289873236
0.9,0.0286453595550447,0.889875209837451
1,0.0269690510825659,0.765841746378455
0.1,0.0225060785327557,0.498113373343227
0.15,0.145930745518084,1.01661977372045
0.2,0.0187816608516126,0.5405002451834
1,0.038725527100102,0.701000920657192
0.1,0.185738207098907,0.98755848089909
0.1,0.0686734951550717,0.732711253103122
0.1,0.038725527100102,0.721010451539873
0.3,0.0399109112468295,0.678913168048285
0.1,0.137390969829912,0.824218656184314
0.65,0.0187816608516126,0.530352104876593
0.4,0.0176825698399504,0.452929669576624
0.6,0.0343257562171084,0.785580121246237
1,0.0423916436412541,0.696383187088793
0.5,0.0205597065665339,0.691112933080318
0.75,0.00673794699908547,0.427492207932738
1,0.0436892472141163,0.981552394074675
0.1,0.236404477026682,1.17462931900404
0.1,0.0798473820302198,0.76831440360751
0.9,0.0225060785327557,0.66610173790702
0.2,0.0353764638585825,0.654639107522838
0.3,0.0225060785327557,0.636637621472747
0.1,0.133310354468046,0.966816206901416
1,0.0375753497560111,0.878772133709072
0.4,0.047825275407306,0.776648000759774
0.9,0.0199490677847077,0.659918291805067
1,0.030425861908365,0.802828022130473
0.1,0.133310354468046,0.968945944943825
0.1,0.25109861018541,1.02060087782219
0.9,0.0450265702903446,0.805026350752397
0.5,0.0176825698399504,0.608141460564495
0.2,0.092839375696302,0.913127694530987
0.3,0.0411325798725696,0.749206243685749
1,0.082291501656317,0.954212475593335
0.5,0.00673794699908547,0.460867320262784
0.75,0.00673794699908547,0.524402477494302
0.9,0.0123144128691125,0.626909276032698
0.5,0.0193565654349683,0.640613982722243
0.5,0.082291501656317,0.883306070701574
0.1,0.092839375696302,0.763446243590193
0.25,0.00694419481938138,0.367960004224826
0.1,0.0523528582805528,0.772714434142905
0.7,0.00673794699908547,0.260225335429766
0.9,0.0313571942118213,0.915727789122453
0.75,0.0269690510825659,0.860729010738128
0.45,0.0627344700335799,0.888259895573617
0.1,0.0231949871337613,0.577008085806473
0.8,0.00910899891519018,0.461583007654037
1,0.0147563703394861,0.450010334753771
0.35,0.0848104355167045,0.868758889045575
0.1,0.215959731572498,1.09185890938548
0.75,0.030425861908365,0.836315508912049
1,0.0375753497560111,0.880511227577213
1,0.0646547652961579,0.767175907454412
0.1,0.125509116147594,0.753885217567965
0.9,0.0176825698399504,0.732723029750675
0.15,0.107945300904381,0.765490157756922
0.1,0.141596492381456,0.831547988175522
1,0.0176825698399504,0.531200445861306
0.1,0.310101916894951,0.843877768457053
0.1,0.155001325879188,0.906206507081896
0.1,0.191423633292527,0.982760430348662
0.8,0.00857594601257285,0.465005499959599
0.1,0.25109861018541,0.989422295436059
0.75,0.0211890369346485,0.665514069234777
0.1,0.0900819762607975,0.841478681331775
0.8,0.0119486655249583,0.703053711995914
0.1,0.222570235323057,0.871099631297048
0.35,0.032317034495169,0.758559752867211
0.15,0.0848104355167045,0.797891125278247
0.6,0.0126913556994469,0.444573797360337
0.1,0.150397669668919,0.914296379821054
0.2,0.0874064736669068,0.830901722960613
1,0.0231949871337613,0.719181173237778
0.95,0.0986099692400979,1.13192554949878
0.1,0.17486892372948,1.04490255499478
0.1,0.0138928368036063,0.544718148289596
0.1,0.133310354468046,0.921780588325966
0.9,0.0277945707849297,0.640090553338786
0.25,0.0109153203521112,0.52271986156384
0.1,0.101628409607465,0.767187064985623
0.6,0.0608712089877158,0.996018931883894
0.1,0.17486892372948,0.960560838588874
0.7,0.038725527100102,0.834652065046132
0.7,0.0364593335459814,0.761356533545446
0.1,0.0573090640210918,0.624891694853184
0.1,0.155001325879188,0.876564866367954
0.1,0.0608712089877158,0.566557896567264
0.25,0.121781400795994,0.788481879306884
0.1,0.092839375696302,0.885320370586158
0.85,0.00807408703144286,0.433402687674193
0.1,0.155001325879188,1.00488790984852
0.2,0.169675184887932,1.10624119396413
