"alpha","lambda","deviance"
0.5,0.0925867647357762,0.723260414682105
0.2,0.423626535644927,1.1375438072709
0.1,0.754867801733679,1.1460874262053
0.15,0.540296068244463,1.12540550189808
0.2,0.475662164445287,1.21759869916196
0.1,1.00162596137746,1.2288607394492
0.15,0.342585242893024,0.819814197807428
0.1,0.635981624737076,1.18000736196977
0.1,0.527463235214059,1.09577305603852
0.65,0.0350276892917855,0.45719613188494
0.7,0.0762558462832251,0.739906495027055
0.1,0.77178791366548,1.23568404936359
0.15,0.624124536564795,1.16053138377282
0.8,0.0964348662013038,0.744141163171544
0.65,0.177329587719194,1.24689078253518
0.2,0.328318063815933,1.06905585523826
0.7,0.08430119267517,0.699573339240114
0.2,0.174082807385144,0.692754054597692
1,0.0626387528084119,0.819003635075502
0.1,0.428916753388791,0.847506912225498
0.55,0.183470393313403,1.11256679670619
0.9,0.0779758216342974,0.918641108837951
0.1,0.535639527578878,0.950516704460481
0.15,0.361760718546698,0.868104551414479
0.35,0.167712618600875,0.823321565532205
0.1,0.957304794141666,1.20498438610824
0.75,0.162506524023119,1.11354133329008
1,0.158049998996483,1.15725622401151
0.25,0.778292527023935,1.38777730150862
0.1,0.614991245568165,0.887689875803645
0.15,0.299172642620432,0.858479627785343
0.25,0.407793008077104,1.0913442777492
0.1,0.348947291209193,0.926984180996332
0.1,0.366540383777452,0.86479326634701
0.1,0.743570188355177,1.07816440344044
0.2,0.159610051984901,0.762380311457017
0.1,0.85245240251187,1.19638225941542
0.1,0.409030105615602,0.938587059053395
0.4,0.188586026262858,0.853721554495214
0.1,0.630129173445739,0.971978989192114
0.4,0.278348619185416,1.07241766696264
1,0.105568578041909,0.833501784234479
0.1,0.428082085827969,0.892953638960302
0.1,0.350225263997871,0.834163812113866
0.1,0.638226592665159,1.16413857110403
0.15,0.166036904841174,0.590411226183401
0.1,0.514176029511909,0.946099278804063
0.3,0.159259122718525,0.743353882906332
0.1,0.463118069922245,0.960809489842636
0.75,0.0948971175320641,0.776662258515184
0.8,0.0831600239462084,0.840209598811885
0.25,0.267646253708347,0.945472584725106
0.3,0.29709076167735,1.03063600112642
0.1,0.393223211182714,0.870384116686068
0.55,0.0986307269674857,0.847919753737783
0.2,0.476192431857013,1.1298227151029
1,0.025558189384292,0.317410448767707
0.1,0.46031112246809,0.831449770512136
0.1,0.458715260131208,0.888901961708362
0.65,0.137994888400435,0.935156239076983
0.1,0.446157586332088,0.959538537256507
0.1,0.428134477275969,0.961987952390027
0.35,0.0857214959583091,0.74267026166948
0.85,0.0801815443124398,0.788962811773706
0.7,0.0839023905394771,0.915987422041415
0.1,0.600747095059876,0.935624976963231
0.2,0.197825736365445,0.720784807393025
0.55,0.169164986302947,1.06265414980671
1,0.0543571334513222,0.644104398180698
0.2,0.220352611321001,0.80315755174963
0.15,0.267728652539,0.73836253873696
0.7,0.190313702381537,1.09823951199734
0.1,0.569065645198914,1.02043119666693
0.1,0.365985960966638,0.876562473935725
0.1,0.392090133218763,0.822997400057974
0.1,0.442636114856802,0.915775943595559
1,0.106268471503013,0.950487194397384
0.1,0.334853655170213,0.744943930572256
0.15,0.461453650688272,1.04337896849512
0.95,0.063266091726232,0.74545821550985
0.15,0.414120265313379,0.925227859621002
0.25,0.298315979896496,1.06445989763324
0.1,0.362430163195623,0.756331650009349
0.1,0.753028331496804,1.25053284774407
0.45,0.119556948347314,0.82722881036919
0.1,0.484162306432596,1.10080478155522
0.1,0.64514969474868,1.0214389786007
0.4,0.135251394715128,0.789800466479292
0.1,0.34293193879243,0.741945556537105
0.1,0.289161369535701,0.724274694817508
0.4,0.167978026935576,0.997322121776191
0.15,0.268873382154237,0.842257948065377
0.1,0.489761292747934,1.04813361843848
0.4,0.515735138278489,1.38562523685217
0.55,0.0377789307494662,0.434761176001351
0.1,0.25915820129645,0.792088135406031
0.1,0.667648333673401,1.2289730761486
0.1,1.10687750368979,1.21214344188429
0.9,0.195879887648684,1.16618959607689
0.4,0.0975458816988845,0.613746380193015
0.2,0.211215715908079,0.774150917275726
0.2,0.516208062235359,1.11879125856422
0.45,0.292947422092455,1.18659446261028
0.1,0.214220340721971,0.733671094994945
0.15,0.660812335074817,1.10214641111449
0.1,0.830646263214608,1.29569117372477
0.35,0.253140598937323,1.05811283650161
0.15,0.350280204566111,0.872899699792652
0.1,0.46084447709574,1.00991936457759
0.3,0.341484289466499,1.13012269889173
0.1,0.503296306309231,0.993546798229504
0.1,0.711618080247676,1.03098751433811
0.1,0.535587248885899,0.927305361352955
0.85,0.0857567130009767,0.818851972707263
0.1,0.117383178686857,0.493993177918271
0.1,0.755364999337521,1.12992700968609
0.1,0.549711247531239,1.00313171007508
1,0.130888241039023,1.03561147852901
0.1,0.693252749842259,1.08509549502638
0.35,0.17016281141986,0.842147645293474
0.75,0.153701093423196,1.16635539743726
1,0.07939768577029,0.842003026749525
