"alpha","lambda","deviance"
0.65,0.0096364858626657,0.522426986103813
0.4,0.066206808912399,0.987382585695443
0.25,0.124764924791152,1.01968440875161
0.3,0.0461237962026905,0.875048295639586
0.1,0.393088392674285,1.13608727160683
0.1,0.327987345675536,1.08543670422634
0.3,0.0279164293238478,0.573821030015937
0.1,0.181129848103595,1.0153816690847
0.1,0.136877986772338,0.9525728469695
0.75,0.00410749188487836,0.339008066241846
0.85,0.0067337236750981,0.534727310716796
0.1,0.23027428812858,1.10670153274565
0.35,0.100705235046356,0.964117501274972
0.95,0.0231284175351898,0.55395685139477
1,0.0794471641077573,1.14787930687381
0.8,0.024489632153574,0.857070912136536
0.85,0.0197723499458996,0.523520938749747
0.25,0.0249098505556433,0.537742057302309
1,0.0195790942670009,0.707927482933519
0.15,0.0708306366592631,0.717957903236382
0.55,0.0659358407021745,0.953042071566153
0.8,0.0188993042271943,0.73352742193323
0.6,0.051085438521341,0.81150799155866
1,0.0325304779884235,0.597445273524433
0.45,0.0323117637638143,0.660038119978532
0.1,0.328400469721723,1.08721128529771
0.95,0.0638525368378698,0.965887312523734
0.5,0.082028714904572,0.903259734558171
0.1,0.208634391899686,1.1654215087132
0.1,0.167190797161336,0.76537186274962
0.15,0.0644547920491439,0.69056526069229
0.25,0.139892139077638,0.974658020567895
0.1,0.114264506150556,0.841497057140913
0.5,0.0302909882431625,0.731497485353177
0.55,0.0642283783549651,1.01056848832588
0.25,0.0164915447653644,0.622533606596531
0.1,0.183655303019819,1.00502633739534
0.1,0.101319880482602,0.805721073085768
0.1,0.106926328081211,0.742548116707792
0.25,0.0825355583822783,0.77697119888946
0.4,0.054640965517206,0.8820442776158
0.85,0.074454941052764,0.756768537908192
0.1,0.101219556104276,0.766351042594501
0.25,0.0480574805053343,0.742916054213843
0.1,0.15090800232522,1.02363379709329
0.1,0.0321667363854745,0.462779135923389
0.15,0.0931888606814523,0.791191523214634
0.2,0.0539176471508432,0.662697353568758
0.15,0.0839351560943343,0.796808472835034
0.9,0.0214988490254049,0.612007804956603
1,0.0346877643479012,0.743871746195981
0.3,0.0765126878215493,0.837872521489615
0.35,0.0548625123394915,0.80301840095513
0.1,0.0847173728308922,0.708172927289022
0.95,0.0375693028927756,0.750920408099294
0.15,0.0859081481861516,0.866259768378512
1,0.00962249424572464,0.273020726100364
