"alpha","lambda","deviance"
0.1,0.101628409607465,0.788214749124186
0.15,0.0729420161872262,0.781254271957299
0.4,0.0608712089877158,0.869121642016992
0.1,0.22938308587002,1.01856318475233
0.15,0.145930745518084,0.896111619964372
0.25,0.0182238313677147,0.646103491268935
0.1,0.118164401400088,0.726758235752487
0.45,0.0507979389288537,0.863089587789596
0.25,0.0523528582805528,0.738262891471518
0.1,0.11465482961254,0.695703532494352
0.1,0.258784711164997,0.995156994321516
0.6,0.0375753497560111,0.801196309208715
0.8,0.0364593335459814,0.750001225127233
0.1,0.215959731572498,0.988174262933848
0.2,0.155001325879188,1.03901607412487
0.1,0.502358027626453,1.28325250580058
0.15,0.11465482961254,0.859598631099222
0.2,0.185738207098907,1.09581578684348
0.1,0.169675184887932,1.01643626874232
0.1,0.0986099692400979,0.842373288494582
0.4,0.0411325798725696,0.825862722767327
0.1,0.185738207098907,0.951024145161102
0.15,0.169675184887932,0.900977325086275
0.1,0.25109861018541,1.05244273782881
0.1,0.197283089759766,0.942928701065909
0.1,0.159745899502266,1.11148719571799
0.6,0.0156735783104817,0.632820361598976
0.2,0.0848104355167045,0.822357293586262
0.35,0.0666338405865818,0.856619487609121
1,0.0774758545992635,0.973314607541474
0.1,0.169675184887932,1.00572594164989
0.1,0.274869926864496,1.09220800883364
0.1,0.121781400795994,0.864714646923531
0.4,0.0666338405865818,0.807327061145418
0.1,0.169675184887932,1.05843107516036
1,0.0375753497560111,0.89047217195153
0.1,0.0874064736669068,0.896215132848929
0.35,0.0848104355167045,0.91364580693058
1,0.038725527100102,0.897094669604041
0.1,0.032317034495169,0.562327864250427
0.3,0.111249494752408,1.07568799407875
0.2,0.0423916436412541,0.666452262051272
0.9,0.0364593335459814,0.759754772590658
0.1,0.197283089759766,1.01612944960693
0.1,0.0900819762607975,0.841951514807479
0.1,0.0900819762607975,0.87775178945758
0.35,0.0573090640210918,0.797123796164782
0.1,0.155001325879188,0.877773270109359
0.7,0.0343257562171084,0.703962814555909
0.1,0.17486892372948,0.788965169303195
0.6,0.047825275407306,0.834941656740885
1,0.0353764638585825,0.705252555611946
0.6,0.0225060785327557,0.73302731547853
0.7,0.0193565654349683,0.657898776488509
0.1,0.209545564765974,1.03207232565298
0.1,0.258784711164997,1.20120646383366
0.1,0.155001325879188,0.946044704498868
0.6,0.0523528582805528,0.847191696589016
0.1,0.150397669668919,0.87984811717474
0.1,0.0956811788267799,0.838958646839713
0.1,0.209545564765974,1.13925156256564
0.65,0.0556069416231776,0.986817234942745
0.35,0.0986099692400979,0.98168841190264
0.45,0.0464048286795906,0.85828134492444
1,0.0523528582805528,0.925045203864994
0.1,0.329376843143987,1.15543108944159
0.1,0.258784711164997,1.05470001385895
0.85,0.0492892018539146,0.831432368325671
0.6,0.0399109112468295,0.717789697046241
0.15,0.185738207098907,1.03882204481018
0.5,0.0729420161872262,0.963799436692154
1,0.0774758545992635,1.03757486767548
0.45,0.0171573841875345,0.699438950525021
0.7,0.0161533448273766,0.736280610349158
0.4,0.0411325798725696,0.868771535660585
0.45,0.0411325798725696,0.782628653215699
0.1,0.266706082854464,1.01035652557893
0.1,0.150397669668919,0.887547011642064
0.15,0.0199490677847077,0.484766949399903
0.1,0.133310354468046,0.928650298688894
0.85,0.00673794699908547,0.373323835047044
0.95,0.0900819762607975,1.12533776594218
0.1,0.169675184887932,1.0668552067084
0.1,0.17486892372948,1.01896007343181
0.1,0.0707755833266999,0.763410533533616
0.85,0.0147563703394861,0.627981167288741
1,0.0161533448273766,0.554835366598258
0.2,0.159745899502266,0.970270214498353
0.1,0.274869926864496,1.12359734112844
0.7,0.0375753497560111,0.90579318709732
0.75,0.0627344700335799,1.03271943754231
1,0.0646547652961579,0.809953436396754
0.2,0.092839375696302,0.794868458138768
0.75,0.0399109112468295,0.899293563679056
0.1,0.150397669668919,0.822566793784433
0.15,0.133310354468046,0.877006127768371
0.95,0.0261680499375946,0.719186263080055
0.1,0.371595363686733,0.917929220816418
0.1,0.236404477026682,1.05815154028879
0.1,0.215959731572498,1.04311159980374
0.9,0.0115937811526061,0.615941315990872
0.1,0.274869926864496,1.04761167675036
0.65,0.0269690510825659,0.712679328324647
0.1,0.137390969829912,0.927331418846716
0.6,0.030425861908365,0.897839960378838
0.1,0.274869926864496,0.957485729803053
1,0.0539553735434497,0.914843770643498
0.15,0.137390969829912,0.922023886000076
0.4,0.038725527100102,0.644771857222423
0.1,0.22938308587002,1.03245778161788
0.1,0.191423633292527,0.955601094724555
0.8,0.0353764638585825,0.820072735753598
0.9,0.0986099692400979,1.13543030174324
0.1,0.197283089759766,1.09555232707328
0.1,0.0751747633205364,0.809026026187806
0.1,0.209545564765974,1.07222557155891
1,0.0333062553845528,0.716787615523734
0.15,0.0774758545992635,0.840913140739407
0.1,0.159745899502266,0.917481923855694
0.35,0.111249494752408,1.06297758105669
0.1,0.25109861018541,1.0470034835794
0.15,0.104739244104163,0.856847667879192
0.7,0.0436892472141163,0.894991399888946
0.1,0.11465482961254,0.804286671730318
0.1,0.191423633292527,0.918112488068971
0.1,0.0707755833266999,0.643954938933172
0.15,0.258784711164997,0.967427244318426
0.1,0.159745899502266,1.02873322522656
0.1,0.0464048286795906,0.720229808522508
0.1,0.191423633292527,1.08267788145654
1,0.101628409607465,1.13191461009519
0.1,0.0956811788267799,0.763392459387404
0.8,0.0729420161872262,1.13264410374266
0.15,0.17486892372948,1.02027073389378
0.1,0.274869926864496,1.02386416822322
0.15,0.164635704004738,1.00558924764622
0.1,0.215959731572498,1.06410816350147
0.45,0.0277945707849297,0.654421214835749
0.1,0.169675184887932,1.00486969800016
0.15,0.107945300904381,0.795777690679121
0.1,0.25109861018541,1.07070935723736
0.1,0.180221642348607,0.946539278054013
1,0.0798473820302198,0.993620882987021
0.65,0.0182238313677147,0.684891496161723
0.3,0.111249494752408,0.963263593031425
0.1,0.203321903548256,1.05077306048591
0.1,0.141596492381456,0.916290559813498
0.2,0.155001325879188,0.987405699226278
0.1,0.191423633292527,0.99997194628459
0.1,0.107945300904381,0.774886775898774
0.1,0.141596492381456,0.936317420595809
1,0.0573090640210918,1.02714209386065
0.1,0.101628409607465,0.702200209008116
0.1,0.121781400795994,0.970642200655125
0.1,0.209545564765974,0.908115233358495
0.65,0.0774758545992635,1.06656832180411
1,0.0450265702903446,1.08537662546009
0.1,0.155001325879188,0.960128608069053
0.45,0.0507979389288537,0.879054435252504
0.1,0.17486892372948,0.916083906036668
0.1,0.150397669668919,0.866012652910881
0.1,0.209545564765974,0.919400527716425
0.8,0.0109153203521112,0.626123084396897
0.1,0.0774758545992635,0.815579465182501
0.7,0.0261680499375946,0.804635379290716
0.1,0.222570235323057,1.07025103499325
0.5,0.0539553735434497,1.00059350252181
0.1,0.0848104355167045,0.699889671899777
0.1,0.0874064736669068,0.724620607971566
0.3,0.0375753497560111,0.721246234024042
0.15,0.155001325879188,0.92265135093128
0.7,0.0450265702903446,0.708128580266346
0.1,0.349849836098401,1.21765761567357
0.1,0.133310354468046,0.845379129197518
0.1,0.141596492381456,1.00761120666792
0.35,0.0774758545992635,0.983726005277172
0.1,0.197283089759766,1.03238239676181
1,0.0523528582805528,1.00139398567325
0.1,0.319594102636075,0.936269200895278
0.1,0.121781400795994,0.891044736343535
0.1,0.125509116147594,0.973886308086805
0.25,0.159745899502266,1.14687675066859
0.6,0.0507979389288537,0.932016252847741
0.7,0.0411325798725696,0.817734014099162
0.1,0.329376843143987,1.06611099498279
0.1,0.17486892372948,1.05101968002839
0.1,0.159745899502266,0.957473409310976
0.15,0.0646547652961579,0.702407280461459
0.1,0.159745899502266,0.90764237082802
0.15,0.159745899502266,0.829549664307371
0.1,0.243640792198287,0.956044195222009
0.1,0.209545564765974,0.959411038861202
0.1,0.349849836098401,1.06583283810523
0.1,0.118164401400088,0.933922314727169
0.1,0.274869926864496,1.04631073971463
0.1,0.145930745518084,0.73590167194338
0.2,0.209545564765974,1.11213065661149
0.1,0.118164401400088,0.857496248497592
