"alpha","lambda","deviance"
1,0.220491480777478,1.41605569598843
1,0.169991405594118,1.39980175541521
1,0.25111591545607,1.4207521679941
1,2.78483259611596,1.43225785343476
1,0.220491480777478,1.4228456014708
0.2,0.666027901442723,1.39670989820445
0.1,0.98387448239243,1.39564579354908
1,0.181412904747863,1.4223195023628
1,0.235306013619926,1.42442346048007
1,0.267988063820568,1.42231374081696
1,0.584803547642573,1.41396226251173
1,0.25111591545607,1.421799640174
0.6,0.206609649908786,1.35063827671264
1,0.267988063820568,1.41395485633076
0.1,0.710777440903922,1.4131509402804
0.1,0.98387448239243,1.41559048353853
0.35,0.347600426127253,1.33668338673498
0.1,1.04997971594093,1.4202764468758
1,0.115074657547619,1.3636026113384
1,0.30520937924816,1.42755099054055
1,0.235306013619926,1.4171046419928
0.2,0.710777440903922,1.42339696226318
1,0.267988063820568,1.42180557253051
1,0.169991405594118,1.40248374267689
1,0.267988063820568,1.42650204453618
1,0.235306013619926,1.41291036885843
1,0.267988063820568,1.4228456014708
1,0.149260379099504,1.32532164255349
1,0.325715996359858,1.42023364587774
0.95,0.0946795214716137,1.32103510828236
0.25,0.37095524197208,1.3383310067736
1,0.235306013619926,1.41657720281236
0.8,0.149260379099504,1.40676466922704
1,0.25111591545607,1.41553124151556
0.1,0.347600426127253,1.21383603545051
1,0.159288987826013,1.36918980575282
1,0.25111591545607,1.41918768458095
1,0.25111591545607,1.42911993248574
1,0.131057571358175,1.40253272021078
1,0.267988063820568,1.42283078910885
1,0.149260379099504,1.40536943675008
1,0.235306013619926,1.42649909688724
0.1,1.04997971594093,1.41573532932319
1,0.139863157353112,1.33811607816047
1,0.169991405594118,1.3943306099621
1,0.169991405594118,1.35866833741515
1,0.235306013619926,1.42284707529526
1,0.235306013619926,1.41501714087261
1,0.25111591545607,1.41448376933566
1,0.235306013619926,1.42492717023448
0.55,0.267988063820568,1.3937160077952
1,0.235306013619926,1.42181297871148
0.55,0.206609649908786,1.33091512706562
0.65,0.206609649908786,1.31972476861256
1,0.115074657547619,1.26242746978237
0.15,0.758533643115514,1.37357121835288
1,0.267988063820568,1.43120743360593
1,0.267988063820568,1.41866024540051
1,1.12052647326172,1.4197046958142
1,0.220491480777478,1.42075515270167
1,0.285993829661746,1.41865877157604
0.1,1.36190168876479,1.41699368554579
1,0.139863157353112,1.32365470892179
0.15,0.395879237202625,1.29033372515839
1,0.220491480777478,1.41657569192925
1,0.267988063820568,1.42181003106254
1,0.25111591545607,1.41397265340028
1,0.25111591545607,1.41605716981289
1,0.37095524197208,1.4312207721434
1,0.25111591545607,1.42233595935988
0.15,1.04997971594093,1.4180910752607
0.15,0.921931140579702,1.42441128849487
1,1.12052647326172,1.4238990060072
1,0.25111591545607,1.4228456014708
1,0.149260379099504,1.31579289828577
1,0.0778990959185285,1.30364842635209
0.1,1.27615829025998,1.41726046725997
0.4,0.325715996359858,1.36150222474681
1,0.235306013619926,1.41658015046129
1,1.65527210121271,1.42807695589651
1,0.235306013619926,1.4238974951241
1,0.235306013619926,1.42127220099356
1,0.235306013619926,1.42807695589651
1,0.395879237202625,1.42861625978996
0.1,0.513484778332143,1.29509231384935
1,0.25111591545607,1.41134883309421
1,0.285993829661746,1.41814467093308
1,0.267988063820568,1.42232707935444
0.1,0.86388766370259,1.37804774491566
1,0.220491480777478,1.43228010903632
1,0.235306013619926,1.4197062066973
1,0.235306013619926,1.41865877157604
1,0.25111591545607,1.42651243542472
1,0.267988063820568,1.42127960717454
0.1,0.513484778332143,1.33766116719852
1,0.159288987826013,1.40137578844777
0.1,0.921931140579702,1.40041875302902
1,0.220491480777478,1.43486833520335
1,0.235306013619926,1.42075515270167
1,0.267988063820568,1.43175565456345
1,0.206609649908786,1.418654313044
1,0.25111591545607,1.42441159576705
1,0.25111591545607,1.42231967317346
1,0.235306013619926,1.41918322604891
1,0.235306013619926,1.42859846272045
1,2.78483259611596,1.41918175222444
1,0.220491480777478,1.42023957823425
1,0.220491480777478,1.42181592636041
1,0.758533643115514,1.42702653606768
0.1,1.55105851767799,1.42573623240095
1,0.666027901442723,1.42442047577249
1,0.235306013619926,1.42232707935444
1,0.139863157353112,1.39743616814658
0.3,0.235306013619926,1.38945745208212
1,0.235306013619926,1.42964737166617
1,0.235306013619926,1.41708979257221
1,0.666027901442723,1.42076108505818
0.9,0.169991405594118,1.40293519530769
1,0.25111591545607,1.41971066522934
1,0.584803547642573,1.42336858211919
1,1.12052647326172,1.41813873857658
1,0.169991405594118,1.41100083614158
0.1,0.921931140579702,1.41542305376966
1,2.78483259611596,1.42127367481803
1,0.235306013619926,1.42283966911429
0.1,1.04997971594093,1.42443512607257
1,0.169991405594118,1.42700809528632
0.1,0.584803547642573,1.39595422103625
1,0.25111591545607,1.41918322604891
1,0.25111591545607,1.41344521421984
0.15,0.584803547642573,1.36789188804746
1,0.169991405594118,1.37563851462904
1,0.131057571358175,1.37208907935761
1,0.25111591545607,1.41867505776245
0.95,0.181412904747863,1.41943385567908
1,0.235306013619926,1.41971659758585
1,0.235306013619926,1.41970473287284
